idinmueble,dpe,cct1,cct2,cct3,cct4,inmueble,coordinaci,operativa,principal,alcaldia,ciclo,plantel,conserjeri,habitada,exterior,comunes,aula,impermeabi,interior,exterior1,loseta,ventanas,ventanas1,ventanas2,puertas,escaleras,pluviales,techos,uvg,pluvial,chapoteade,alberca,arenero,gimnasio,elevador,inmueble1,operacion,civil,hidrosanit,sanitarios,interior1,desazolve,mamparas,septica,deterioro,agua,concreto,tinacos,cisterna,agua1,luminarias,electrica,transforma,escolar,lamina,deportivos,deportivas,emergencia,accesibili,rejas,perimetral,plantel1,arboles,tocones,arboreos,hojarasca,estudiante,maestros,familia,desconozco,escultura,busto,fuente,arbol,coord_x,coord_y
802098,MH021,09DPR1094Z,,,,CANADA,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,-99.221209,19.43359
802099,MH022,09DJN0750Z,,,,CARLOS ALCALDE,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Preescolar,MIGUEL HIDALGO,2025-2026,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,-99.20791,19.421955
802100,MH023,09DPR1754S,,,,CATORCE DE ABRIL,Coordinación Sectorial de Educación Primaria,Dirección Operativa de Educación Primaria No. 1,Primaria,MIGUEL HIDALGO,2025-2026,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,-99.18044,19.404842
802101,MH024,09DDI0018A,,,,CAI SEP NO 18 MARGARITA MAZA DE JUAREZ,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Inicial,MIGUEL HIDALGO,2025-2026,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-99.195299,19.423037
802102,MH025,09DDI0023M,,,,CAI SEP NO 23 VANGUARDIA REVOLUCIONARIA,Coordinación Sectorial de Educación Inicial y Preescolar,Dirección Operativa de Educación Preescolar No. 1,Inicial,MIGUEL HIDALGO,2025-2026,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-99.169402,19.446309
802103,MH026,09DML0092D,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 1,Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 1,Especial - CAM,MIGUEL HIDALGO,2025-2026,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-99.191958,19.439797
802105,MH027 BIS,09DML0124F,09DML0121I,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 102 (CLINICA DE ORTOLALIA),Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 1,Especial - CAM,MIGUEL HIDALGO,2025-2026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.204589,19.432234
802106,MH028,09DML0095A,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 12,Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 1,Especial - CAM,MIGUEL HIDALGO,2025-2026,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,-99.184634,19.396192
802107,MH029,09DML0097Z,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 16,Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 1,Especial - CAM,MIGUEL HIDALGO,2025-2026,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-99.178482,19.448713
802108,MH030,09DML0029B,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 28,Dirección de Educación Especial e Inclusiva,Coordinación Regional de Operación No. 1,Especial - CAM,MIGUEL HIDALGO,2025-2026,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,-99.177086,19.446061
